"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10"
"5287",1,1,1,1,1,1,1,2026,1,2026,"B","FORE",517216,315929,179263,93364.8,28690.5,15982.4,6783.96,2944.28,1693.68,1136.91,647.997
"5288",1,1,1,1,1,1,1,2026,1,2026.5,"M","FORE",404232,246907,139939,72034.5,21157.8,11009.7,4452.02,1895.95,1087.15,730.975,418.898
"5289",1,1,1,1,1,1,1,2027,1,2027,"B","FORE",517216,315929,192965,109242,55577.4,15602.9,7584.2,2921.67,1220.88,697.831,740.778
"5290",1,1,1,1,1,1,1,2027,1,2027.5,"M","FORE",404232,246906,150615,84161.3,40717.3,10595.9,4879.8,1840.63,766.417,438.876,468.708
"5291",1,1,1,1,1,1,1,2028,1,2028,"B","FORE",517216,315929,192963,117560,64839,29830.4,7195.68,3139.75,1159.58,481.124,572.578
"5292",1,1,1,1,1,1,1,2028,1,2028.5,"M","FORE",404232,246904,150566,90253.4,46759.6,19575.5,4415.39,1876.73,690.064,286.971,344.096
"5293",1,1,1,1,1,1,1,2029,1,2029,"B","FORE",517216,315929,192960,117484,69289.5,33721.4,12846,2709.36,1121.79,410.654,377.955
"5294",1,1,1,1,1,1,1,2029,1,2029.5,"M","FORE",404232,246903,150549,90103.6,49741.3,21910.1,7774.87,1594.98,657.309,241.205,223.768
"5295",1,1,1,1,1,1,1,2030,1,2030,"B","FORE",517216,315929,192959,117460,69104.3,35708.1,14235.9,4705.64,938.953,385.149,274.158
"5296",1,1,1,1,1,1,1,2030,1,2030.5,"M","FORE",404232,246903,150549,90085.3,49608.4,23201,8616.08,2770.17,550.177,226.224,162.315
"5297",1,1,1,1,1,1,1,2031,1,2031,"B","FORE",517216,315929,192959,117460,69090.3,35612.7,15074.6,5214.77,1630.78,322.375,228.975
"5298",1,1,1,1,1,1,1,2031,1,2031.5,"M","FORE",404232,246903,150549,90084.8,49598.3,23139,9123.69,3069.9,955.553,189.353,135.565
"5299",1,1,1,1,1,1,1,2032,1,2032,"B","FORE",517216,315929,192959,117460,69089.9,35605.4,15034.3,5522,1807.23,559.904,191.481
"5300",1,1,1,1,1,1,1,2032,1,2032.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.2,9099.31,3250.76,1058.94,328.87,113.366
"5301",1,1,1,1,1,1,1,2033,1,2033,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5507.24,1913.7,620.484,260.286
"5302",1,1,1,1,1,1,1,2033,1,2033.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.46,3242.07,1121.33,364.452,154.102
"5303",1,1,1,1,1,1,1,2034,1,2034,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.12,1908.59,657.04,305.304
"5304",1,1,1,1,1,1,1,2034,1,2034.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.41,3241.41,1118.33,385.924,180.755
"5305",1,1,1,1,1,1,1,2035,1,2035,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.2,655.284,333.695
"5306",1,1,1,1,1,1,1,2035,1,2035.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.41,3241.4,1118.1,384.893,197.564
"5307",1,1,1,1,1,1,1,2036,1,2036,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.151,343.041
"5308",1,1,1,1,1,1,1,2036,1,2036.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.41,3241.4,1118.1,384.814,203.098
"5309",1,1,1,1,1,1,1,2037,1,2037,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.147,346.271
"5310",1,1,1,1,1,1,1,2037,1,2037.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.41,3241.4,1118.1,384.812,205.01
"5311",1,1,1,1,1,1,1,2038,1,2038,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.147,347.402
"5312",1,1,1,1,1,1,1,2038,1,2038.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.41,3241.4,1118.1,384.812,205.68
"5313",1,1,1,1,1,1,1,2039,1,2039,"B","FORE",517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.147,347.799
"5314",1,1,1,1,1,1,1,2039,1,2039.5,"M","FORE",404232,246903,150549,90084.8,49598,23134.1,9097.41,3241.4,1118.1,384.812,205.914
