ParName   Value   Gradient
sel50_srv_m(1)    -0.153765 -7.06393e-06
R_logalpha      3.25271  5.11533e-07
R_logbeta     -5.50432 -1.26165e-06
log_msy_sel_f(1)     -7.42828  -9.5668e-06
log_msy_sel_f(2)     -6.25487 -6.14524e-06
log_msy_sel_f(3)     -5.08532  2.72505e-07
log_msy_sel_f(4)     -3.92899 -1.04098e-06
log_msy_sel_f(5)     -2.81609 -4.54982e-07
log_msy_sel_f(6)     -1.82616 -1.01268e-06
log_msy_sel_f(7)     -1.07785 -6.30054e-06
log_msy_sel_f(8)    -0.599299 -6.99437e-06
log_msy_sel_f(9)     -0.30966 -1.05606e-05
log_msy_sel_f(10)    -0.143607 -8.23513e-06
log_msy_sel_f(11)   -0.0603579 -4.71764e-06
log_msy_sel_f(12)   -0.0239016 -5.12283e-06
log_msy_sel_f(13)  -0.00920742  1.98105e-06
log_msy_sel_f(14)  -0.00350873 -5.12981e-06
log_msy_sel_f(15)  -0.00133217  2.58893e-07
log_msy_sel_f(16) -0.000505289  7.55081e-06
log_msy_sel_f(17) -0.000191669 -5.93563e-07
log_msy_sel_f(18) -0.000191674 -2.74962e-06
log_msy_sel_f(19) -0.000191674 -2.59773e-06
log_msy_sel_f(20)  -0.00019167 -1.29362e-06
log_msy_sel_m(1)     -7.73583 -5.89149e-06
log_msy_sel_m(2)     -6.26311 -1.71511e-06
log_msy_sel_m(3)     -4.79605  5.17413e-06
log_msy_sel_m(4)     -3.35544  1.06662e-05
log_msy_sel_m(5)     -2.02574  1.26509e-05
log_msy_sel_m(6)     -1.00934  4.81808e-06
log_msy_sel_m(7)    -0.424893  7.81743e-06
log_msy_sel_m(8)    -0.153025    6.314e-06
log_msy_sel_m(9)   -0.0482853  2.56908e-06
log_msy_sel_m(10)   -0.0142515 -8.17578e-07
log_msy_sel_m(11)  -0.00411682    3.708e-06
log_msy_sel_m(12)  -0.00118446 -3.36447e-06
log_msy_sel_m(13)   -0.0003411  3.54553e-06
log_msy_sel_m(14)  -9.8435e-05 -3.48984e-06
log_msy_sel_m(15)  -2.8452e-05 -1.28455e-07
